,Date,Death,Injuries,Location_x,Location_y,High School Name,School Type,Others,description
87,10/9/15,1,3,"Flagstaff, Arizona","Houston, TX",Texas Southern University,College or University,Attack on other persons(s) resulting in injury or death,"One student died and three others were wounded in a shooting at Northern Arizona University. It is unclear what sparked the shooting, which took place near Mountain View Hall, a dormitory that houses most of the campus' students involved in Greek organizations. An 18-year-old student was arrested and charged with murder and aggravated assault.[513]"
88,10/9/15,1,1,"Houston, Texas","Flagstaff, AZ",Northern Arizona University - Flagstaff,College or University,Attack on other persons(s) resulting in injury or death,One person died and another person was injured after someone opened fire outside a Texas Southern University dorm.[514]
89,10/9/15,1,1,"Houston, Texas","Houston, TX",Texas Southern University,College or University,Attack on other persons(s) resulting in injury or death,One person died and another person was injured after someone opened fire outside a Texas Southern University dorm.[514]
90,10/22/15,1,3,"Nashville, Tennessee","Nashville, TN",Tennessee State University,College or University,Attack on other persons(s) resulting in injury or death,One person was killed and three others were wounded in a shooting at an outdoor courtyard at Tennessee State University. The shooting may have stemmed from an argument over a dice game. A suspect has not been identified or arrested.[515]
91,11/1/15,1,1,"Winston-Salem, North Carolina","Winston-Salem, NC",Winston-Salem State University,College or University,Attack on other persons(s) resulting in injury or death,One person died and another person was injured after someone opened fire on the campus of Winston-Salem State University. A 21-year-old non-student suspect is sought.[516]
92,11/20/15,1,0,"North Las Vegas, Nevada",,,,,A 16-year-old student was fatally shot during a fight after school hours that involved multiple people on the campus of Mojave High School.[517]
93,1/22/16,0,1,"Indianapolis, Indiana","Indianapolis, IN",Lawrence Central High School,High School,Attack on other persons(s) resulting in injury or death,A 15-year-old male was shot in the leg and injured during a night-time basketball game at Lawrence Central High School.[518]
94,1/29/16,0,0,"Philadelphia, Pennsylvania","Philadelphia, PA",Benjamin Franklin High School,High School,Gun fired but no one injured,"A gunshot was fired during a fight in a stairwell at Franklin High School, and no injuries were reported. Three people were detained.[519]"
95,2/9/16,0,4,"Muskegon Heights, Michigan","Muskegon Heights High School, MI",Muskegon Heights High School,High School,Attack on other persons(s) resulting in injury or death,"Four people, including two students, were injured during a basketball game event in the parking lot of Muskegon Heights High School.[520]"
96,2/12/16,2,0,"Glendale, Arizona","Glendale, AZ",Independence High School,High School,Attack on other persons(s) resulting in injury or death,Two 15-year-old girls died in an apparent Murder-Suicide at Independence High School.[521]
97,2/29/16,0,4,"Middletown, Ohio","Middletown, OH",Madison High School,K-12 School,Attack on other persons(s) resulting in injury or death,"15-year-old Cameron Smith, and 14-year-old Cooper Caffrey, were shot when 14-year-old James Austin Hancock, opened fire in the Madison High School cafeteria with a .380 caliber handgun. 15-year-old Brant Murray, and 14-year-old Katherine Douchette, also suffered shrapnel injuries.[522] Hancock was apprehended in a nearby wooded field.[523]"
98,4/23/16,1,2,"Antigo, Wisconsin",,,,,"Two students at a prom at Antigo High School were shot and injured by 18-year-old former student Jakob Wagner. Wagner later exchanged fire with a school resource officer in the school's parking lot, and was captured after being shot and wounded by police. He died hours later in a hospital."
99,6/1/16,2,0,"Los Angeles, California","Los Angeles, CA",University of California-Los Angeles,College or University,Attack on other persons(s) resulting in injury or death,"2016 UCLA shooting. Mainak Sarkar, age 38, a Ph.D. student, killed his former professor, William S. Klug, age 39, a professor of mechanical and aerospace engineering, in an engineering building at UCLA. Sarkar then killed himself. Sarkar, who lived in Minnesota, also killed his former wife, Ashley Hasti, age 31, in her Brooklyn Park, Minnesota home.[524][525]"
100,6/8/16,1,3,"Dorchester, Massachusetts",,,,,One student was killed and three other individuals were injured when gunfire erupted outside of the Jeremiah Burke High School following a fire-alarm causing an evacuation of the school. Two suspects have been arrested.[526]
101,9/9/16,1,2,"Alpine, Texas","Montgomery, AL",Auburn University at Montgomery,College or University,Attack on other persons(s) resulting in injury or death,A 14-year-old female student shot a 16-year-old girl in an Alpine High School restroom before committing suicide. A police officer accidentally shot another officer during the incident.
102,9/9/16,1,2,"Alpine, Texas","Cedar Rapids, IA",Cedar Rapids Jefferson High School,High School,"Attempted or completed suicide, with no intent to injure other person",A 14-year-old female student shot a 16-year-old girl in an Alpine High School restroom before committing suicide. A police officer accidentally shot another officer during the incident.
103,9/28/16,2,2,"Townville, South Carolina","Townville, SC",Townville Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death,"Townville Elementary School shooting: Two students and one teacher were wounded after a teen opened fire at Townville Elementary School. The suspect's father was found dead at his home soon after the shooting. One of the victims, six-year-old Jacob Hall, died 3 days after the shooting.[527][528]"
104,10/11/16,0,1,"Mobile, Alabama","Prichard, AL",Vigor High School,High School,Attack on other persons(s) resulting in injury or death,"A student was shot in the abdomen and wounded at Vigor High School. The suspect, a 16-year-old boy, turned himself in and was charged with assault.[529]"
105,10/13/16,0,2,"Columbus, Ohio",,,,,"Two students were shot and wounded on the front lawn of Linden McKinley STEM Academy. One was shot in the shoulder, and the other shot in the chest, and were hospitalized in stable condition.[530]"
106,10/18/16,0,4,"San Francisco, California",,,,,"Four students were shot outside June Jordan High School for Equity, a San Francisco public high school. One female victim was in critical condition, while three male victims suffered minor injuries. .[531] Two people were arrested in the shooting.[532]"
107,10/25/16,0,1,"Sandy, Utah",,,,,Police say the two teens ages 14 and 16 were involved in a confrontation on the far north end of Union Middle School. The boys got into an argument. The argument lead to a shooting. The 14 year old shot the 16 year old twice. He was sent to the hospital in critical but stable condition.[533]
108,12/1/16,0,0,"Bountiful, Utah","Bountiful, UT",Mueller Park Junior High School,Middle School,Gun fired but no one injured,"At Mueller Park Junior High School, a 15-year-old student fired one shot into the ceiling and then pointed the weapon at his own neck. The student was confronted verbally by a teacher and another student and later arrested in possession of a shotgun, a handgun, and ammunition for each.[534]"
109,1/20/17,0,1,"West Liberty, Ohio","West Liberty, OH",West Liberty-Salem High School,High School,Attack on other persons(s) resulting in injury or death,"A 17-year-old student was charged with attempted murder and other crimes after bringing a gun to West Liberty-Salem High School and firing two shots at 17-year-old student in a bathroom with a shotgun. The victim was injured. The student was ""also is accused of discharging the weapon in the schoolÃ¢â‚¬â„¢s hallway before returning to the bathroom, where he was eventually taken into custody.""[535]"
110,1/20/17,0,1,"Seattle, Washington","West Liberty, OH",West Liberty-Salem High School,High School,Attack on other persons(s) resulting in injury or death,A 34-year-old man was shot in Red Square at University of Washington while protesting the visit of controversial journalist Milo Yiannopoulos. The shooter turned himself in to the university police and was later questioned and released without being charged with a crime.[536]
111,3/21/17,0,1,"King City, California",,,,,"An 18-year-old King City High School student was shot outside the school's auditorium. The gunman ran across the school's campus and baseball field, and fled the area. The school was then placed on lockdown. The victim was hospitalized with life-threatening injuries.[537] A suspect was arrested in August 2017.[538]"
112,4/10/17,3,1,"San Bernardino, California","San Bernardino, CA",North Park Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death,"North Park Elementary School shooting: Cedric Anderson, age 53, of Riverside, California, died of a self-inflicted gunshot wound after shooting and killing his estranged wife, Karen Elaine Smith, age 53, in a classroom. An eight-year-old student was also fatally shot, and a seven-year-old student was injured.[539]"
113,5/4/17,2,0,"Irving, Texas",,,,,"North Lake College: Adrian Victor Torres killed a 20-year-old student, Janeera Nickol Gonzalez, whom he was stalking. He fatally shot her three times and the college went into lockdown before discovering that the suspect has died from a self-inflicted gunshot wound.[540]"
114,9/13/17,1,3,"Rockford, Washington","Rockford, WA",Freeman High School,High School,Attack on other persons(s) resulting in injury or death,"Freeman High School: Three students injured and one killed after a shooter opened fire. The suspect, a 15-year-old student, was taken into police custody.[541]"
115,9/20/17,0,1,"Mattoon, Illinois","Mattoon, IL",Mattoon High School,High School,Attack on other persons(s) resulting in injury or death,"Mattoon High School: A 14-year-old male student was subdued by a female teacher when he attempted to open fire in the school cafeteria at 11:33Ã‚Â a.m. Multiple shots were fired in the process, and one student was struck in the chest and was driven to a nearby hospital suffering non-life-threatening wounds. The student was taken into custody without further incident.[542][543]"
116,11/14/17,6,18,"Rancho Tehama Reserve, California","Corning, CA",Rancho Tehama Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death,"Rancho Tehama Reserve shootings: Neighbor on a rampage injured one student at Rancho Tehama Elementary School and fatally shot five adults at several locations.[544] The secretary heard the gunfire near the school and ordered the school to go on lockdown. After a custodian and the teachers put it into action, 43 year-old Kevin Neal rammed a truck into the gate of the school and fired at the classrooms hitting one student when a bullet pierced the wall. Neal fatally shot himself after sheriff's deputies rammed his vehicle during a pursuit.[544][545]"
117,11/14/17,6,18,"Rancho Tehama Reserve, California","Minneola, FL",Lake Minneola High School,High School,"Attempted or completed suicide, with no intent to injure other person","Rancho Tehama Reserve shootings: Neighbor on a rampage injured one student at Rancho Tehama Elementary School and fatally shot five adults at several locations.[544] The secretary heard the gunfire near the school and ordered the school to go on lockdown. After a custodian and the teachers put it into action, 43 year-old Kevin Neal rammed a truck into the gate of the school and fired at the classrooms hitting one student when a bullet pierced the wall. Neal fatally shot himself after sheriff's deputies rammed his vehicle during a pursuit.[544][545]"
118,12/7/17,3,0,"Aztec, New Mexico","Aztec, NM",Aztec High School,High School,Attack on other persons(s) resulting in injury or death,"Aztec High School shooting: William Atchison, 21-year-old former male student snuck into Aztec High School disguised as a student and hid in an unlocked washroom with a Glock 9mm hidden in his bag. He retreated from the washroom after being spotted by a school custodian who chased him shouting ""active shooter"" and ""lockdown"". Atchinson was able to shoot and kill two students who were caught in the hallway before he killed himself.[546][547] He had been investigated in 2016 by the FBI when he asked ""where to find cheap assault rifles for a mass shooting"" on an online forum.[548][549]"
119,1/9/18,0,0,"Forest City, Iowa",,,,,"A man shot a pellet gun at a school bus full of children, shattering a window. No one was injured.[550]"
120,1/10/18,0,0,"Denison, Texas","San Bernardino, CA","California State University, San Bernardino",College or University,Gun fired but no one injured,"A criminal justice club student picked up a loaded gun, belonging to an advisor, which the student thought was an unloaded training weapon. She then shot at a wall target, unintentionally firing a bullet, which went through the wall and broke a window. The advisor was a licensed peace officer permitted to carry a firearm on campus.[551]"
121,1/10/18,0,0,"Denison, Texas","Sierra Vista, AZ",Coronado Elementary School,Elementary School,"Attempted or completed suicide, with no intent to injure other person","A criminal justice club student picked up a loaded gun, belonging to an advisor, which the student thought was an unloaded training weapon. She then shot at a wall target, unintentionally firing a bullet, which went through the wall and broke a window. The advisor was a licensed peace officer permitted to carry a firearm on campus.[551]"
122,1/10/18,0,0,"Denison, Texas","Denison, TX",Grayson College,Community College,Gun fired but no one injured,"A criminal justice club student picked up a loaded gun, belonging to an advisor, which the student thought was an unloaded training weapon. She then shot at a wall target, unintentionally firing a bullet, which went through the wall and broke a window. The advisor was a licensed peace officer permitted to carry a firearm on campus.[551]"
123,1/20/18,1,0,"Winston-Salem, North Carolina","Winston-Salem, NC",Wake Forest University,College or University,Attack on other persons(s) resulting in injury or death,A student was fatally shot at a party at 1 a.m. on the campus of Wake Forest University.[550]
124,1/22/18,0,1,"Italy, Texas","Gentilly, LA",The NET Charter High School,High School,Attack on other persons(s) resulting in injury or death,A 16-year-old male student fired at a 15-year-old female classmate that he had briefly dated in the cafeteria of Italy High School. The gunman left the school immediately after opening fire and was arrested.[552][553][554]
125,1/22/18,0,1,"Italy, Texas","Italy, TX",Italy High School,High School,Attack on other persons(s) resulting in injury or death,A 16-year-old male student fired at a 15-year-old female classmate that he had briefly dated in the cafeteria of Italy High School. The gunman left the school immediately after opening fire and was arrested.[552][553][554]
126,1/22/18,0,1,"New Orleans, Louisiana","Gentilly, LA",The NET Charter High School,High School,Attack on other persons(s) resulting in injury or death,"Shots were fired from a truck in the parking lot of NET Charter High School, targeting a crowd of students during lunch time. One student was slightly injured, apparently from injuries unrelated to gunfire. One person was arrested in connection with the shooting.[550]"
127,1/22/18,0,1,"New Orleans, Louisiana","Italy, TX",Italy High School,High School,Attack on other persons(s) resulting in injury or death,"Shots were fired from a truck in the parking lot of NET Charter High School, targeting a crowd of students during lunch time. One student was slightly injured, apparently from injuries unrelated to gunfire. One person was arrested in connection with the shooting.[550]"
128,1/23/18,2,18,"Marshall County, Kentucky","Benton, KY",Marshall County High School,High School,Attack on other persons(s) resulting in injury or death,"Marshall County High School shooting: A 15-year-old male student shot 16 people in the lobby at Marshall County High School and caused non-gunshot injuries to 4 others. Two 15-year-old students died: one killed at the scene, another died of wounds at Vanderbilt Medical Center.[555][556][557]"
129,1/25/18,0,0,"Mobile, Alabama","Mobile, AL",Murphy High School,High School,Gun fired but no one injured,"A disagreement between two 16-year-old students escalated when Jonah Neal pulled out a handgun. School administrators noticed the weapon and tried to calm him; Neal then fled across campus. He was pursued by staff until he fired the gun four or five times into the air. Nobody was injured. Neal was taken into custody and charged for multiple offenses, including possession of a weapon on school property.[558]"
130,1/31/18,1,0,"Philadelphia, Pennsylvania","Philadelphia, PA",Lincoln High School,High School,Attack on other persons(s) resulting in injury or death,"A fight began in the school parking lot outside a basketball game, and the school went into lockdown after shots were fired. A 32-year-old male was transported by private vehicle to Nazareth Hospital with two gunshot wounds in his leg. He was transferred by helicopter to another hospital, but died from his injuries. Police announced that they are searching for an adult male suspect.[559]"
131,2/1/18,0,5,"Los Angeles, California","Los Angeles, CA",Salvador B. Castro Middle School,Middle School,Gun fired unintentionally resulting in injury or death,"Two 15-year-old students, a boy and a girl, were shot and injured inside a classroom at Sal Castro Middle School, which shares a campus with Belmont High School. Three other people suffered injuries unrelated to gunfire. A 12-year-old girl was arrested and charged with negligent discharge of a firearm.[560]"
132,2/5/18,0,1,"Oxon Hill, Maryland","Oxon Hill, MD",Oxon Hill High School,High School,Attack on other persons(s) resulting in injury or death,"A student was taken to hospital after exiting Oxon Hill High School and going to speak to individuals in a vehicle who then attempted to rob, and subsequently shot and wounded him in the school's parking lot. Two other students were arrested and charged with attempted murder and robbery.[561]"
133,2/5/18,0,1,"Oxon Hill, Maryland","Maplewood, MN",Harmony Learning Center,K-12 School,Gun fired but no one injured,"A student was taken to hospital after exiting Oxon Hill High School and going to speak to individuals in a vehicle who then attempted to rob, and subsequently shot and wounded him in the school's parking lot. Two other students were arrested and charged with attempted murder and robbery.[561]"
134,2/14/18,17,17,"Parkland, Florida","Parkland, FL",Marjory Stoneman Douglas High School,High School,Attack on other persons(s) resulting in injury or death,"Marjory Stoneman Douglas High School shooting: A 19-year-old former student whose behavior had led to his expulsion, began shooting students and staff members with a semi-automatic rifle at Marjory Stoneman Douglas High School after activating a fire alarm. 17 people were killed, and 17 others were injured. The suspect, Nikolas Cruz, blended in with the crowd of fleeing students and was arrested in a residential area of neighboring Coral Springs after walking away from the school.[562] He was later charged with murder and attempted murder.[563]"
135,3/2/18,2,0,"Mount Pleasant, Michigan","Mount Pleasant, MI",Central Michigan University,College or University,Attack on other persons(s) resulting in injury or death,Central Michigan University shooting: 19-year-old student James Eric Davis Jr. shot and killed his mother and father when they came to campus to take him home for spring break. After the shooting Davis fled and the campus was placed on lockdown. Around 15 hours later police arrested him and took him to a local hospital. The incident disrupted the travel plans of students and campus activities for several days. Davis was charged with two counts of murder and one count of unlawful possession of a firearm used to commit murder.[564][565][566]
136,3/7/18,1,2,"Birmingham, Alabama","Birmingham, AL",Huffman High School,High School,Other,"Huffman High School: One student was killed and another injured when shots were fired in the school building, prompting the school to go into lockdown shortly after the bell rang for school dismissal. Law enforcement originally labeled the shooting as ""accidental"".[567] Subsequently, a 17-year-old male student was charged with manslaughter and will be charged as ""being a certain person forbidden to possess a pistol"".[568] Although the school has metal detectors, they were not being used that day.[569] School resource officers were onsite at the time of the shooting.[568]"
137,3/9/18,0,1,"Lexington, Kentucky","Lexington, KY",Frederick Douglass High School,High School,Gun fired unintentionally resulting in injury or death,"Frederick Douglass High School: A 16-year-old male student unintentionally shot himself with a gun he had smuggled into a classroom, sustaining an injury to his left thumb. Police announced they were charging him with wanton endangerment and possession of a weapon on school property. After the shooting, the school superintendent announced that stationary metal detectors would be installed and all students would be required to enter through them.[570]"
138,3/14/18,2,1,"Birmingham, Alabama",,,,,"University of Alabama at Birmingham: A disgruntled employee entered the UAB Highlands Hospital on the campus of the University of Alabama at Birmingham and shot two hospital employees, fatally wounding one, on the second floor. The perpetrator then shot and fatally wounded himself.[571]"
139,3/20/18,2,1,"Great Mills, Maryland","Great Mills, MD",Great Mills High School,High School,Attack on other persons(s) resulting in injury or death,"Great Mills High School: School placed on lockdown after a shooting occurred in the morning. A 17-year-old male student, armed with a handgun, shot and fatally injured a female student (with whom he had a prior relationship) and wounded a male student. The student shot himself in the head, fatally, while the school resource officer simultaneously shot at him.[572]"
140,4/20/18,0,1,"Ocala, Florida","Ocala, FL",Forest High School,High School,Attack on other persons(s) resulting in injury or death,Forest High School: A student was shot and injured in a classroom shortly before a national school walkout for gun control measures. His injuries were not life-threatening. A 19-year-old former student was arrested.[citation needed]
141,5/11/18,0,1,"Palmdale, California","Palmdale, CA",Highland High School,High School,Attack on other persons(s) resulting in injury or death,"Highland High School: A 14-year-old former student allegedly fired a semi-automatic rifle shortly before classes were to begin. A 15-year-old was struck in the shoulder but went into surgery and was expected to recover fully. The suspect ditched the gun in a field and was arrested nearby, and faces a charge of attempted murder.[573]"
142,5/16/18,0,1,"Dixon, Illinois","Dixon, IL",Dixon High School,High School,Other,"Dixon High School: A 19-year-old student recently kicked off football team allegedly fired shots prior to graduation rehearsal. A school resource officer shot the suspect, who suffered non-life threatening injuries.[574][575]"
143,5/18/18,10,14,"Santa Fe, Texas",,,,,Santa Fe High School shooting: School was evacuated when fire alarms pulled at 7:45 am after students said they had heard gunshots. Shooter had a shotgun and .38 revolver. Multiple IEDs and pipe bombs were also found around the school.[576]
144,5/18/18,1,3,"Jonesboro, Georgia",,,,,Mount Zion High School: An argument led to a shooting in a parking lot after a high school graduation ceremony for graduates of Perry Learning Center. Mount Zion High School provided overflow parking for people attending the ceremony.[577]
145,5/25/18,0,2,"Noblesville, Indiana",,,,,"Noblesville West Middle School: Two people were shot and injured in a shooting at Noblesville West Middle School in Noblesville, Indiana. The shooter is an unnamed middle school student who exited his science classroom and entered with a gun. The gun was wrestled away by the science teacher of that classroom after both the teacher and another student were shot.[578]"
146,5/5/18,,,,"Fowlerville, MI",Fowlerville High School,High School,Gun fired but no one injured,
147,5/3/18,,,,"Waynesboro, TN",Waynesboro Elementary School,Elementary School,Gun fired but no one injured,
148,4/22/18,,,,"Atlanta, GA",Benjamin Elijah Mays High School,High School,Gun fired but no one injured,
149,4/19/18,,,,"Jackson, MI",Jackson High School,High School,Gun fired but no one injured,
150,4/12/18,,,,"Raytown, MO",Raytown South Middle School,Middle School,Attack on other persons(s) resulting in injury or death,
151,3/16/18,,,,"Missoula, MT",Big Sky High School,High School,Gun fired but no one injured,
152,3/13/18,,,,"Seaside, CA",Seaside High School,High School,Gun fired unintentionally resulting in injury or death,
153,3/13/18,,,,"Alexandria, VA",George Washington Middle School,Middle School,Gun fired but no one injured,
154,3/5/18,,,,"Cadet, MO",Kingston High School,High School,"Attempted or completed suicide, with no intent to injure other person",
155,3/4/18,,,,"San Marcos, TX",Texas State University,College or University,Gun fired but no one injured,
156,2/28/18,,,,"Dalton, GA",Dalton High School,High School,Gun fired but no one injured,
157,2/27/18,,,,"Norfolk, VA",Norfolk State University,College or University,Gun fired unintentionally resulting in injury or death,
158,2/27/18,,,,"Itta Bena, MS",Mississippi Valley State University,College or University,Attack on other persons(s) resulting in injury or death,
159,2/26/18,,,,"Tacoma, WA",Oakland High School,High School,Gun fired but no one injured,
160,2/24/18,,,,"Savannah, GA",Savannah State University,College or University,Attack on other persons(s) resulting in injury or death,
161,2/23/18,,,,"Hammond, LA",Southeastern Louisiana University,College or University,Attack on other persons(s) resulting in injury or death,
162,2/20/18,,,,"Massillon, OH",Jackson Memorial Middle School,Middle School,Other,
163,2/15/18,,,,"Coconut Creek, FL",North Broward Preparatory School,K-12 School,Gun fired unintentionally resulting in injury or death,
164,2/8/18,,,,"New York, NY",The Metropolitan High School,High School,Gun fired but no one injured,
165,1/26/18,,,,"Dearborn, MI",Dearborn High School,High School,Gun fired but no one injured,
166,1/15/18,,,,"Marshall, TX",Wiley College,College or University,Gun fired but no one injured,
167,1/4/18,,,,"Seattle, WA",New Start High School,High School,Gun fired but no one injured,
168,12/31/17,,,,"Marysville, WA",Pinewood Elementary School,Elementary School,Gun fired but no one injured,
169,12/27/17,,,,"Lancaster, CA",Lincoln Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death,
170,12/19/17,,,,"Beecher, MI",Beecher High School,High School,Attack on other persons(s) resulting in injury or death,
171,12/14/17,,,,"Dallas, TX",Elisha M. Pease Elementary School,Elementary School,Gun fired but no one injured,
172,12/13/17,,,,"Monaca, PA",Penn State Beaver,College or University,Attack on other persons(s) resulting in injury or death,
173,12/12/17,,,,"East Stroudsburg, PA",East Stroudsburg University,College or University,Attack on other persons(s) resulting in injury or death,
174,12/12/17,,,,"Pasadena, TX",Sam Rayburn High School,High School,Gun fired unintentionally resulting in injury or death,
175,12/11/17,,,,"High Point, NC",High Point Central High School,High School,Gun fired but no one injured,
176,11/30/17,,,,"Virginia Beach, VA",Salem High School,High School,"Attempted or completed suicide, with no intent to injure other person",
177,11/29/17,,,,"Lima, OH",Bath High School,High School,Gun fired but no one injured,
178,11/28/17,,,,"San Jose, CA",Booksin Elementary School,Elementary School,Gun fired but no one injured,
179,11/23/17,,,,"Denver, CO",Manual High School,High School,Attack on other persons(s) resulting in injury or death,
180,11/17/17,,,,"Jackson, TN",North Side High School,High School,Gun fired but no one injured,
181,11/11/17,,,,"Albany, GA",Albany State University,College or University,Attack on other persons(s) resulting in injury or death,
182,11/10/17,,,,"Milledgeville, GA",Lakeview Academy,Elementary School,Gun fired but no one injured,
183,11/10/17,,,,"Texarkana, TX",Texarkana College,Community College,Gun fired unintentionally resulting in injury or death,
184,11/9/17,,,,"Atlanta, GA",Benjamin Banneker High School,High School,Gun fired unintentionally resulting in injury or death,
185,11/7/17,,,,"Fort Worth, TX",Texas Christian University,College or University,Gun fired but no one injured,
186,11/3/17,,,,"Lansing, MI",Pattengill Middle School,Middle School,Gun fired unintentionally resulting in injury or death,
187,10/31/17,,,,"Salt Lake City, UT",University of Utah,College or University,Attack on other persons(s) resulting in injury or death,
188,10/25/17,,,,"Grambling, LA",Grambling State University,College or University,Attack on other persons(s) resulting in injury or death,
189,10/19/17,,,,"Petersburg, VA",Virginia State University,College or University,Attack on other persons(s) resulting in injury or death,
190,10/14/17,,,,"Petersburg, VA",Virginia State University,College or University,Attack on other persons(s) resulting in injury or death,
191,10/11/17,,,,"Easton, MA",Stonehill College,College or University,Gun fired unintentionally resulting in injury or death,
192,10/9/17,,,,"Lubbock, TX",Texas Tech University,College or University,Attack on other persons(s) resulting in injury or death,
193,9/30/17,,,,"Commodore, PA",Purchase Line Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death,
194,9/29/17,,,,"Lee's Summit, MO",Lee's Summit North High School,High School,"Attempted or completed suicide, with no intent to injure other person",
195,9/17/17,,,,"Akron, OH",University of Akron,College or University,Attack on other persons(s) resulting in injury or death,
196,9/12/17,,,,"St. Paul, MN",St. Catherine University,College or University,Gun fired unintentionally resulting in injury or death,
197,9/8/17,,,,"Columbus, OH",Columbus Scioto 6-12,K-12 School,Gun fired but no one injured,
198,9/8/17,,,,"North Little Rock, AR",North Little Rock High School,High School,Attack on other persons(s) resulting in injury or death,
199,9/5/17,,,,"Nashville, TN",Tennessee State University,College or University,Attack on other persons(s) resulting in injury or death,
200,9/1/17,,,,"College Station, TX",Texas A&M University,College or University,Attack on other persons(s) resulting in injury or death,
201,8/17/17,,,,"Lithia Springs, GA",Lithia Springs High School,High School,"Attempted or completed suicide, with no intent to injure other person",
202,7/23/17,,,,"Fayetteville, AR",University of Arkansas,College or University,Attack on other persons(s) resulting in injury or death,
203,7/21/17,,,,"Spanish Fork, UT",Spanish Fork High School,High School,Attack on other persons(s) resulting in injury or death,
204,7/19/17,,,,"Milwaukee, WI",Hickman Academy Prepatory School,K-12 School,Attack on other persons(s) resulting in injury or death,
205,7/13/17,,,,"Las Vegas, NV","University of Nevada, Las Vegas",College or University,Gun fired but no one injured,
206,6/22/17,,,,"Florence, SC",Wilson High School,High School,Gun fired unintentionally resulting in injury or death,
207,6/16/17,,,,"Chicago, IL",Warren Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death,
208,6/5/17,,,,"Fort Wayne, IN",Ravenscroft Beauty College,Community College,Attack on other persons(s) resulting in injury or death,
209,5/24/17,,,,"Greensboro, AL",Greensboro High School,High School,Gun fired but no one injured,
210,5/23/17,,,,"Kirbyville, TX",Kirbyville High School,High School,"Attempted or completed suicide, with no intent to injure other person",
211,5/15/17,,,,"Moss Bluff, LA",Moss Bluff Elementary School,Elementary School,Gun fired unintentionally resulting in injury or death,
212,5/2/17,,,,"Irving, TX",North Lake College,Community College,Attack on other persons(s) resulting in injury or death,
213,4/25/17,,,,"Orem, UT",Utah Valley University,College or University,Gun fired but no one injured,
214,4/15/17,,,,"Tulsa, OK",Booker T. Washington High School,High School,Attack on other persons(s) resulting in injury or death,
215,4/7/17,,,,"St. Paul, MN",University of St. Thomas,College or University,Gun fired unintentionally resulting in injury or death,
216,3/31/17,,,,"Pensacola, FL",University of West Florida,College or University,Gun fired but no one injured,
217,3/15/17,,,,"Gaffney, SC",Limestone College,College or University,Gun fired but no one injured,
218,3/13/17,,,,"Wilberforce, OH",Central State University,College or University,Attack on other persons(s) resulting in injury or death,
219,2/6/17,,,,"Scotlandville, LA",Scotlandville High School,High School,Gun fired but no one injured,
220,1/27/17,,,,"Aiken, SC",South Aiken High School,High School,Attack on other persons(s) resulting in injury or death,
221,1/22/17,,,,"Manhattan, KS",Kansas State University,College or University,Gun fired unintentionally resulting in injury or death,
222,1/17/17,,,,"Eastpoint, FL",Franklin County Elementary School,Elementary School,Gun fired but no one injured,
223,1/10/17,,,,"Alexander City, AL",Alexander City Middle School,Middle School,Gun fired but no one injured,
224,1/5/17,,,,"Lebanon, OH",Warren County Career Center,Community College,"Attempted or completed suicide, with no intent to injure other person",
225,12/29/16,,,,"Salt Lake City, UT",University of Utah,College or University,Attack on other persons(s) resulting in injury or death,
226,12/9/16,,,,"St. Louis, MO",Bayless High School,High School,Attack on other persons(s) resulting in injury or death,
227,11/17/16,,,,"St. Paul, MN",Crossroads Elementary School,Elementary School,Gun fired but no one injured,
228,11/11/16,,,,"Auburn, MI",Bay City Western High School,High School,Gun fired unintentionally resulting in injury or death,
229,11/3/16,,,,"Berthoud, CO",Berthoud High School,High School,Attack on other persons(s) resulting in injury or death,
230,11/2/16,,,,"Grand Junction, CO",Grand Junction High School,High School,"Attempted or completed suicide, with no intent to injure other person",
231,10/23/16,,,,"Huntsville, AL",Alabama A&M University,College or University,Gun fired but no one injured,
232,10/23/16,,,,"Caledonia, MI",Davenport University,College or University,Attack on other persons(s) resulting in injury or death,
233,10/6/16,,,,"Fort Worth, TX",Dunbar High School,High School,Attack on other persons(s) resulting in injury or death,
234,9/15/16,,,,"Stephenville, TX",Tarleton State University,College or University,Gun fired but no one injured,
235,9/8/16,,,,"Alpine, TX",Alpine High School,High School,Attack on other persons(s) resulting in injury or death,
236,9/2/16,,,,"Tulsa, OK",McLain High School,High School,Attack on other persons(s) resulting in injury or death,
237,8/25/16,,,,"Booneville, MS",Northeast Mississippi Community College,Community College,Attack on other persons(s) resulting in injury or death,
238,7/25/16,,,,"Ava, MO",Ava High School,High School,Attack on other persons(s) resulting in injury or death,
239,7/7/16,,,,"Dallas, TX",El Centro College,College or University,Attack on other persons(s) resulting in injury or death,
240,6/10/16,,,,"Vallejo, CA",Solano Community College,Community College,Gun fired unintentionally resulting in injury or death,
241,6/7/16,,,,"Columbia, MO",University of Missouri,College or University,Gun fired unintentionally resulting in injury or death,
242,5/15/16,,,,"Augusta, KS",Augusta High School,High School,Gun fired unintentionally resulting in injury or death,
